,tconst,ordering,nconst,category,job,characters
29355920,tt1974419,6,nm6890017,writer,screenplay by,\N
29355921,tt1974419,7,nm6031291,writer,screenplay by,\N
30991988,tt2165735,6,nm0906413,writer,screenplay,\N
30991989,tt2165735,7,nm0946883,writer,screenplay,\N
30991990,tt2165735,8,nm4661537,writer,screenplay,\N
30991991,tt2165735,9,nm5470609,writer,screenplay,\N
31668029,tt2308260,6,nm0937074,writer,writer,\N
31741775,tt2323964,6,nm4202937,writer,screenplay,\N
31741776,tt2323964,7,nm3002771,writer,dialogue,\N
31741777,tt2323964,8,nm4082640,writer,screenplay,\N
31812881,tt2338424,6,nm1597917,writer,\N,\N
32067287,tt2391224,5,nm0302339,writer,created by,\N
32067288,tt2391224,6,nm1636278,writer,developed by,\N
32067289,tt2391224,7,nm1467650,writer,developed by,\N
32959078,tt2751074,5,nm0951390,writer,developer,\N
32959079,tt2751074,6,nm0450509,writer,creator: Dutch television series,\N
32959080,tt2751074,7,nm0452674,writer,creator: Dutch television series,\N
33165945,tt2844798,6,nm0678467,writer,screenplay,\N
33165946,tt2844798,7,nm5032902,writer,\N,\N
33165947,tt2844798,8,nm0970537,writer,screenplay,\N
34437308,tt3404140,6,nm4655557,writer,\N,\N
34511575,tt3435532,5,nm1163823,writer,based on the original series 'Broadchurch' created by,\N
35331201,tt3780500,6,nm0713911,writer,screenplay,\N
35331202,tt3780500,7,nm0792670,writer,novel,\N
35331203,tt3780500,8,nm9364546,writer,novel,\N
35908294,tt4048668,6,nm0878494,writer,"novels ""The Adventures of Huckleberry Finn"" and ""The Adventures of Tom Sawyer""",\N
38439500,tt5179598,6,nm0561359,writer,written by,\N
38895559,tt5368542,5,nm2916300,writer,created by,\N
39236155,tt5542802,6,nm6052646,writer,writers,\N
39236156,tt5542802,7,nm3789785,writer,\N,\N
39236157,tt5542802,8,nm5969139,writer,\N,\N
39636765,tt5700176,6,nm1474875,writer,story development,\N
39636766,tt5700176,7,nm0871857,writer,based in part on the novel by,\N
